index	table_id	annotator_id	premise	hypothesis	label
14	T1	GW1	    In the box office, Brooklyn made $62.1 million.   Brooklyn was distributed by Fox Searchlight Pictures  (United States), Mongrel Media  (Canada), 20th Century Fox  (International), Lionsgate  (United Kingdom).  The release date of Brooklyn are 26 January 2015  ( 2015-01-26 )  (Sundance), 6 November 2015  ( 2015-11-06 )  (United Kingdom).  The running time of Brooklyn is 112 minutes.    	Brooklyn has a run time longer than two hours.	0
15	T1	GW3	    Brooklyn is a movie.  The production company of Brooklyn are BBC Films, Telefilm Canada, HanWay Films, Wildgaze Films.  Brooklyn was screenplay by Nick Hornby.  The language of Brooklyn is English.    	Brooklyn was an English film.	2
16	T1	GW3	    In the box office, Brooklyn made $62.1 million.   Brooklyn was distributed by Fox Searchlight Pictures  (United States), Mongrel Media  (Canada), 20th Century Fox  (International), Lionsgate  (United Kingdom).  The release date of Brooklyn are 26 January 2015  ( 2015-01-26 )  (Sundance), 6 November 2015  ( 2015-11-06 )  (United Kingdom).  The country of Brooklyn are United Kingdom, Canada, Ireland.    	Brooklyn was only released in three countries.	1
17	T1	GW3	    In the box office, Brooklyn made $62.1 million.   The release date of Brooklyn are 26 January 2015  ( 2015-01-26 )  (Sundance), 6 November 2015  ( 2015-11-06 )  (United Kingdom).  The running time of Brooklyn is 112 minutes.  The budget of Brooklyn is $11 million.    	Brooklyn has a run-time of 120 minutes.	0
18	T3	GW5	    The vitamin e of Hazelnuts or filberts, raw is 100%  15.03 mg.  The output of Hazelnuts or filberts, raw is Nutritional value per 100 g.  The carbohydrates of Hazelnuts or filberts, raw is 16.70 g.  The sugars of Hazelnuts or filberts, raw is 4.34 g.    	Raw hazelnuts contain fewer than 5 g of sugars per serving.	2
19	T3	GW5	    Hazelnuts or filberts, raw is a food&drink.  The output of Hazelnuts or filberts, raw is Nutritional value per 100 g.  The sugars of Hazelnuts or filberts, raw is 4.34 g.  The fat of Hazelnuts or filberts, raw is 60.75 g.    	Raw hazelnuts contain more good than bad sugars.	1
20	T3	GW5	    The output of Hazelnuts or filberts, raw is Nutritional value per 100 g.  The carbohydrates of Hazelnuts or filberts, raw is 16.70 g.  The sugars of Hazelnuts or filberts, raw is 4.34 g.  The protein of Hazelnuts or filberts, raw is 14.95 g.    	Raw hazelnuts contain more than 5 g of sugars per serving.	0
21	T3	GW2	    The output of Hazelnuts or filberts, raw is Nutritional value per 100 g.  The vitamin e of Hazelnuts or filberts, raw is 100%  15.03 mg.  The zinc of Hazelnuts or filberts, raw is 26%  2.45 mg.  The manganese of Hazelnuts or filberts, raw is 294%  6.175 mg.    	400 grams of filberts contain all the zinc a person needs in one day according to the USDA.	2
22	T3	GW2	    The vitamins of Hazelnuts or filberts, raw is Quantity     %DV.  The vitamin c of Hazelnuts or filberts, raw is 8%  6.3 mg.  The vitamin e of Hazelnuts or filberts, raw is 100%  15.03 mg.  The vitamin k of Hazelnuts or filberts, raw is 14%  14.2 g.    	Hazelnuts lose vitamin C when roasted.	1
23	T3	GW2	    The carbohydrates of Hazelnuts or filberts, raw is 16.70 g.  The sugars of Hazelnuts or filberts, raw is 4.34 g.  The sodium of Hazelnuts or filberts, raw is 0%  0 mg.  The fat of Hazelnuts or filberts, raw is 60.75 g.    	Hazelnuts are low in fat.	0
24	T3	GW4	    The potassium of Hazelnuts or filberts, raw is 14%  680 mg.  The output of Hazelnuts or filberts, raw is Nutritional value per 100 g.  The carbohydrates of Hazelnuts or filberts, raw is 16.70 g.  The fat of Hazelnuts or filberts, raw is 60.75 g.    	A bag of Hazelnuts has over 600 calories.	2
25	T3	GW4	    The vitamins of Hazelnuts or filberts, raw is Quantity     %DV.  The output of Hazelnuts or filberts, raw is Nutritional value per 100 g.  The fat of Hazelnuts or filberts, raw is 60.75 g.  The other constituents of Hazelnuts or filberts, raw is Quantity.    	A serving of Hazelnuts has a high amount of fat.	1
26	T3	GW4	    Hazelnuts or filberts, raw is a food&drink.  The vitamins of Hazelnuts or filberts, raw is Quantity     %DV.  The sugars of Hazelnuts or filberts, raw is 4.34 g.  The fat of Hazelnuts or filberts, raw is 60.75 g.    	A bag of Hazelnuts is known for being very sweet.	0
27	T5	GW0	    The awards of Charles Francis Jenkins is Elliott Cresson Medal (1897) , John Scott Medal (1913).   Charles Francis Jenkins is a person.  The projects of Charles Francis Jenkins is Over 400 patents related to a variety of inventions.  The significant advance of Charles Francis Jenkins is Motion picture projector and television.    	Charles Francis Jenkins has been awarded more than one medal.	2
28	T5	GW0	    Charles Francis Jenkins was born on August 22, 1867 , Dayton, Ohio.  Charles Francis Jenkins died on June 6, 1934 (age 66) , Washington, D.C..  The nationality of Charles Francis Jenkins is American.  The education of Charles Francis Jenkins is Bliss Electrical School.    	Charles Francis Jenkins spent most of his life in Ohio.	1
29	T5	GW0	    Charles Francis Jenkins is a person.  Charles Francis Jenkins died on June 6, 1934 (age 66) , Washington, D.C..  The projects of Charles Francis Jenkins is Over 400 patents related to a variety of inventions.  The significant advance of Charles Francis Jenkins is Motion picture projector and television.    	Charles Francis Jenkins never saw a motion picture in his lifetime.	0
30	T5	GW2	    The awards of Charles Francis Jenkins is Elliott Cresson Medal (1897) , John Scott Medal (1913).   Charles Francis Jenkins was born on August 22, 1867 , Dayton, Ohio.  Charles Francis Jenkins died on June 6, 1934 (age 66) , Washington, D.C..  The nationality of Charles Francis Jenkins is American.    	Charles Francis Jenkins was born in the 19th century.	2
31	T5	GW2	    The awards of Charles Francis Jenkins is Elliott Cresson Medal (1897) , John Scott Medal (1913).   Charles Francis Jenkins was born on August 22, 1867 , Dayton, Ohio.  Charles Francis Jenkins died on June 6, 1934 (age 66) , Washington, D.C..  The nationality of Charles Francis Jenkins is American.    	Charles Francis Jenkins lived in Ohio until he was 21.	1
32	T5	GW2	    The awards of Charles Francis Jenkins is Elliott Cresson Medal (1897) , John Scott Medal (1913).   Charles Francis Jenkins is a person.  Charles Francis Jenkins died on June 6, 1934 (age 66) , Washington, D.C..  The significant advance of Charles Francis Jenkins is Motion picture projector and television.    	Charles Francis Jenkins never won any medals.	0
33	T5	GW1	    The awards of Charles Francis Jenkins is Elliott Cresson Medal (1897) , John Scott Medal (1913).   Charles Francis Jenkins died on June 6, 1934 (age 66) , Washington, D.C..  The projects of Charles Francis Jenkins is Over 400 patents related to a variety of inventions.  The significant advance of Charles Francis Jenkins is Motion picture projector and television.    	Charles Francis Jenkins received awards for his work in two different centuries.	2
34	T5	GW1	    The education of Charles Francis Jenkins is Bliss Electrical School.  The occupation of Charles Francis Jenkins is Engineer.  The projects of Charles Francis Jenkins is Over 400 patents related to a variety of inventions.  The significant advance of Charles Francis Jenkins is Motion picture projector and television.    	Charles Francis Jenkins patents were mostly related to electronics.	1
35	T5	GW1	    The awards of Charles Francis Jenkins is Elliott Cresson Medal (1897) , John Scott Medal (1913).   Charles Francis Jenkins was born on August 22, 1867 , Dayton, Ohio.  Charles Francis Jenkins died on June 6, 1934 (age 66) , Washington, D.C..  The projects of Charles Francis Jenkins is Over 400 patents related to a variety of inventions.    	Charles Francis Jenkins died in the Fall of 1934.	0
36	T6	GW1	    Kansas is a musician.  The genres of Kansas are Progressive rock, art rock, hard rock.  The years active of Kansas was on 1973 - 1984, 1985 - present.  The associated acts of Kansas are Proto-Kaw, Streets, AD, Seventh Key, Native Window, Dixie Dregs, Deep Purple, Shooting Star.    	Kansas has been active as a band for over 45 years.	2
37	T6	GW1	    Kansas is a musician.  The genres of Kansas are Progressive rock, art rock, hard rock.  The labels of Kansas are Kirshner, MCA, Magna Carta, Inside Out.  The associated acts of Kansas are Proto-Kaw, Streets, AD, Seventh Key, Native Window, Dixie Dregs, Deep Purple, Shooting Star.    	Kansas' band members were happier with MCA as a label than with Inside Out.	1
38	T6	GW1	    Kansas is a musician.  The genres of Kansas are Progressive rock, art rock, hard rock.  The labels of Kansas are Kirshner, MCA, Magna Carta, Inside Out.  The associated acts of Kansas are Proto-Kaw, Streets, AD, Seventh Key, Native Window, Dixie Dregs, Deep Purple, Shooting Star.    	Kansas has made music on more than four record labels.	0
39	T6	GW6	    The genres of Kansas are Progressive rock, art rock, hard rock.  The years active of Kansas was on 1973 - 1984, 1985 - present.  The labels of Kansas are Kirshner, MCA, Magna Carta, Inside Out.  The associated acts of Kansas are Proto-Kaw, Streets, AD, Seventh Key, Native Window, Dixie Dregs, Deep Purple, Shooting Star.    	Kansas has been signed to multiple labels.	2
40	T6	GW6	    The years active of Kansas was on 1973 - 1984, 1985 - present.  The labels of Kansas are Kirshner, MCA, Magna Carta, Inside Out.  The associated acts of Kansas are Proto-Kaw, Streets, AD, Seventh Key, Native Window, Dixie Dregs, Deep Purple, Shooting Star.  The website of Kansas is kansasband.com.     	Kansas is currently signed to the Inside Out label.	1
41	T6	GW6	    The genres of Kansas are Progressive rock, art rock, hard rock.  The years active of Kansas was on 1973 - 1984, 1985 - present.  The associated acts of Kansas are Proto-Kaw, Streets, AD, Seventh Key, Native Window, Dixie Dregs, Deep Purple, Shooting Star.  The website of Kansas is kansasband.com.     	Kansas began activities before the seventies.	0
42	T6	GW7	    The genres of Kansas are Progressive rock, art rock, hard rock.  The years active of Kansas was on 1973 - 1984, 1985 - present.  The labels of Kansas are Kirshner, MCA, Magna Carta, Inside Out.  The associated acts of Kansas are Proto-Kaw, Streets, AD, Seventh Key, Native Window, Dixie Dregs, Deep Purple, Shooting Star.    	TheyÕre still together.	2
43	T6	GW7	    The genres of Kansas are Progressive rock, art rock, hard rock.  The years active of Kansas was on 1973 - 1984, 1985 - present.  The labels of Kansas are Kirshner, MCA, Magna Carta, Inside Out.  The associated acts of Kansas are Proto-Kaw, Streets, AD, Seventh Key, Native Window, Dixie Dregs, Deep Purple, Shooting Star.    	They just finished an album.	1
44	T6	GW7	    The origin of Kansas is Topeka, Kansas, U.S..  The labels of Kansas are Kirshner, MCA, Magna Carta, Inside Out.  The associated acts of Kansas are Proto-Kaw, Streets, AD, Seventh Key, Native Window, Dixie Dregs, Deep Purple, Shooting Star.  The website of Kansas is kansasband.com.     	TheyÕre from Texas.	0
45	T6	GW0	    The genres of Kansas are Progressive rock, art rock, hard rock.  The years active of Kansas was on 1973 - 1984, 1985 - present.  The associated acts of Kansas are Proto-Kaw, Streets, AD, Seventh Key, Native Window, Dixie Dregs, Deep Purple, Shooting Star.  The website of Kansas is kansasband.com.     	Kansas have been active for over thirty years.	2
46	T6	GW0	    Kansas is a musician.  The genres of Kansas are Progressive rock, art rock, hard rock.  The labels of Kansas are Kirshner, MCA, Magna Carta, Inside Out.  The associated acts of Kansas are Proto-Kaw, Streets, AD, Seventh Key, Native Window, Dixie Dregs, Deep Purple, Shooting Star.    	Kansas the band recorded most of their music in Kansas.	1
47	T6	GW0	    The origin of Kansas is Topeka, Kansas, U.S..  The genres of Kansas are Progressive rock, art rock, hard rock.  The years active of Kansas was on 1973 - 1984, 1985 - present.  The associated acts of Kansas are Proto-Kaw, Streets, AD, Seventh Key, Native Window, Dixie Dregs, Deep Purple, Shooting Star.    	Kansas was formed on the west coast of the United States.	0
48	T7	GW3	    Flicker is a album.  Flicker was released on 20 October 2017  ( 2017-10-20 ).  The studio of Flicker are Various, Enemy Dojo (Calabasas, California), SARM Music Village, The Music Shed (London), Echo Studio, EastWest Studios (Los Angeles, California), Blackbird Studio, The LBT (Nashville, Tennessee), State of The Ark Studios Richmond).  The length of Flicker is 35 : 54.    	Flicker was released in the autumn of 2017	2
49	T7	GW3	    Flicker was released on 20 October 2017  ( 2017-10-20 ).  The studio of Flicker are Various, Enemy Dojo (Calabasas, California), SARM Music Village, The Music Shed (London), Echo Studio, EastWest Studios (Los Angeles, California), Blackbird Studio, The LBT (Nashville, Tennessee), State of The Ark Studios Richmond).  The label of Flicker are Neon Haze, Capitol.  The producer of Flicker are Julian Bunetta, Greg Kurstin, Jacquire King, AFTERHRS, Mark 'Spike' Stent, TMS.     	Flicker was released in London and United States	1
50	T7	GW3	    Flicker is a album.  The studio of Flicker are Various, Enemy Dojo (Calabasas, California), SARM Music Village, The Music Shed (London), Echo Studio, EastWest Studios (Los Angeles, California), Blackbird Studio, The LBT (Nashville, Tennessee), State of The Ark Studios Richmond).  The genre of Flicker is Folk pop.  The label of Flicker are Neon Haze, Capitol.    	Flicker was a multi genre album with songs from rock, pop, Jazz, and another genres	0
51	T7	GW1	    Flicker was released on 20 October 2017  ( 2017-10-20 ).  The studio of Flicker are Various, Enemy Dojo (Calabasas, California), SARM Music Village, The Music Shed (London), Echo Studio, EastWest Studios (Los Angeles, California), Blackbird Studio, The LBT (Nashville, Tennessee), State of The Ark Studios Richmond).  The length of Flicker is 35 : 54.  The producer of Flicker are Julian Bunetta, Greg Kurstin, Jacquire King, AFTERHRS, Mark 'Spike' Stent, TMS.     	Flicker was released in the Fall of 2017.	2
52	T7	GW1	    Flicker is a album.  The studio of Flicker are Various, Enemy Dojo (Calabasas, California), SARM Music Village, The Music Shed (London), Echo Studio, EastWest Studios (Los Angeles, California), Blackbird Studio, The LBT (Nashville, Tennessee), State of The Ark Studios Richmond).  The label of Flicker are Neon Haze, Capitol.  The producer of Flicker are Julian Bunetta, Greg Kurstin, Jacquire King, AFTERHRS, Mark 'Spike' Stent, TMS.     	More of the recording on Flicker was done at Echo Studio than Blackbird Studio.	1
53	T7	GW1	    The studio of Flicker are Various, Enemy Dojo (Calabasas, California), SARM Music Village, The Music Shed (London), Echo Studio, EastWest Studios (Los Angeles, California), Blackbird Studio, The LBT (Nashville, Tennessee), State of The Ark Studios Richmond).  The genre of Flicker is Folk pop.  The length of Flicker is 35 : 54.  The producer of Flicker are Julian Bunetta, Greg Kurstin, Jacquire King, AFTERHRS, Mark 'Spike' Stent, TMS.     	The time it takes to listen to Flicker is over an hour.	0
54	T7	GW0	    Flicker is a album.  Flicker was released on 20 October 2017  ( 2017-10-20 ).  The studio of Flicker are Various, Enemy Dojo (Calabasas, California), SARM Music Village, The Music Shed (London), Echo Studio, EastWest Studios (Los Angeles, California), Blackbird Studio, The LBT (Nashville, Tennessee), State of The Ark Studios Richmond).  The producer of Flicker are Julian Bunetta, Greg Kurstin, Jacquire King, AFTERHRS, Mark 'Spike' Stent, TMS.     	The Flicker album was recorded at multiple studios.	2
55	T7	GW0	    Flicker was released on 20 October 2017  ( 2017-10-20 ).  The studio of Flicker are Various, Enemy Dojo (Calabasas, California), SARM Music Village, The Music Shed (London), Echo Studio, EastWest Studios (Los Angeles, California), Blackbird Studio, The LBT (Nashville, Tennessee), State of The Ark Studios Richmond).  The label of Flicker are Neon Haze, Capitol.  The producer of Flicker are Julian Bunetta, Greg Kurstin, Jacquire King, AFTERHRS, Mark 'Spike' Stent, TMS.     	Julian Bunetta was the executive producer of Flicker.	1
56	T7	GW0	    Flicker was released on 20 October 2017  ( 2017-10-20 ).  The studio of Flicker are Various, Enemy Dojo (Calabasas, California), SARM Music Village, The Music Shed (London), Echo Studio, EastWest Studios (Los Angeles, California), Blackbird Studio, The LBT (Nashville, Tennessee), State of The Ark Studios Richmond).  The length of Flicker is 35 : 54.  The producer of Flicker are Julian Bunetta, Greg Kurstin, Jacquire King, AFTERHRS, Mark 'Spike' Stent, TMS.     	Flicker is less than a year old.	0
57	T8	GW8	    Jeffrey Dahmer was born as Jeffrey Lionel Dahmer , (1960-05-21)May 21, 1960 , Milwaukee, Wisconsin, U.S..  Jeffrey Dahmer died on November 28, 1994(1994-11-28) (aged 34) , Columbia Correctional Institution, Portage, Wisconsin, U.S..  The other names of Jeffrey Dahmer is The Milwaukee Cannibal , The Milwaukee Monster.  The conviction(s) of Jeffrey Dahmer are Murder, Child molestation, Indecent exposure, Disorderly conduct, Public intoxication.    	Jeffrey Dahmer was born in Wisconsin.	2
58	T8	GW8	    The cause of death of Jeffrey Dahmer is Homicide (severe head trauma).  The other names of Jeffrey Dahmer is The Milwaukee Cannibal , The Milwaukee Monster.  The conviction(s) of Jeffrey Dahmer are Murder, Child molestation, Indecent exposure, Disorderly conduct, Public intoxication.  The criminal penalty of Jeffrey Dahmer is Life imprisonment (16 life terms).     	He was convicted of assault.	1
59	T8	GW8	    Jeffrey Dahmer died on November 28, 1994(1994-11-28) (aged 34) , Columbia Correctional Institution, Portage, Wisconsin, U.S..  The cause of death of Jeffrey Dahmer is Homicide (severe head trauma).  The conviction(s) of Jeffrey Dahmer are Murder, Child molestation, Indecent exposure, Disorderly conduct, Public intoxication.  The criminal penalty of Jeffrey Dahmer is Life imprisonment (16 life terms).     	He is still in prison for his crimes.	0
60	T8	GW9	    Jeffrey Dahmer died on November 28, 1994(1994-11-28) (aged 34) , Columbia Correctional Institution, Portage, Wisconsin, U.S..  The cause of death of Jeffrey Dahmer is Homicide (severe head trauma).  The conviction(s) of Jeffrey Dahmer are Murder, Child molestation, Indecent exposure, Disorderly conduct, Public intoxication.  The criminal penalty of Jeffrey Dahmer is Life imprisonment (16 life terms).     	Jeffrey Dahmer was convicted of several crimes.	2
61	T8	GW9	    Jeffrey Dahmer is a person.  Jeffrey Dahmer died on November 28, 1994(1994-11-28) (aged 34) , Columbia Correctional Institution, Portage, Wisconsin, U.S..  The cause of death of Jeffrey Dahmer is Homicide (severe head trauma).  The conviction(s) of Jeffrey Dahmer are Murder, Child molestation, Indecent exposure, Disorderly conduct, Public intoxication.    	Jeffrey Dahmer was killed by another prisoner.	1
62	T8	GW9	    Jeffrey Dahmer died on November 28, 1994(1994-11-28) (aged 34) , Columbia Correctional Institution, Portage, Wisconsin, U.S..  The cause of death of Jeffrey Dahmer is Homicide (severe head trauma).  The conviction(s) of Jeffrey Dahmer are Murder, Child molestation, Indecent exposure, Disorderly conduct, Public intoxication.  The criminal penalty of Jeffrey Dahmer is Life imprisonment (16 life terms).     	Jeffrey Dahmer was released after serving two life terms.	0
63	T8	GW4	    Jeffrey Dahmer is a person.  The cause of death of Jeffrey Dahmer is Homicide (severe head trauma).  The conviction(s) of Jeffrey Dahmer are Murder, Child molestation, Indecent exposure, Disorderly conduct, Public intoxication.  The criminal penalty of Jeffrey Dahmer is Life imprisonment (16 life terms).     	Jeffrey Dahmer was known for killing people.	2
64	T8	GW4	    Jeffrey Dahmer was born as Jeffrey Lionel Dahmer , (1960-05-21)May 21, 1960 , Milwaukee, Wisconsin, U.S..  Jeffrey Dahmer died on November 28, 1994(1994-11-28) (aged 34) , Columbia Correctional Institution, Portage, Wisconsin, U.S..  The other names of Jeffrey Dahmer is The Milwaukee Cannibal , The Milwaukee Monster.  The criminal penalty of Jeffrey Dahmer is Life imprisonment (16 life terms).     	Jeffrey Dahmer spent his whole life in Wisconsin.	1
65	T8	GW4	    Jeffrey Dahmer is a person.  Jeffrey Dahmer was born as Jeffrey Lionel Dahmer , (1960-05-21)May 21, 1960 , Milwaukee, Wisconsin, U.S..  Jeffrey Dahmer died on November 28, 1994(1994-11-28) (aged 34) , Columbia Correctional Institution, Portage, Wisconsin, U.S..  The cause of death of Jeffrey Dahmer is Homicide (severe head trauma).    	Jeffrey Dahmer was a person that died when they were forty.	0
66	T8	GW0	    Jeffrey Dahmer was born as Jeffrey Lionel Dahmer , (1960-05-21)May 21, 1960 , Milwaukee, Wisconsin, U.S..  Jeffrey Dahmer died on November 28, 1994(1994-11-28) (aged 34) , Columbia Correctional Institution, Portage, Wisconsin, U.S..  The height of Jeffrey Dahmer is 6 ft 0 in (1.83 m).  The criminal penalty of Jeffrey Dahmer is Life imprisonment (16 life terms).     	Jeffrey Dahmer was under two meters tall.	2
67	T8	GW0	    Jeffrey Dahmer died on November 28, 1994(1994-11-28) (aged 34) , Columbia Correctional Institution, Portage, Wisconsin, U.S..  The cause of death of Jeffrey Dahmer is Homicide (severe head trauma).  The conviction(s) of Jeffrey Dahmer are Murder, Child molestation, Indecent exposure, Disorderly conduct, Public intoxication.  The criminal penalty of Jeffrey Dahmer is Life imprisonment (16 life terms).     	Jeffrey Dahmer was murdered by a prison guard.	1
68	T8	GW0	    Jeffrey Dahmer died on November 28, 1994(1994-11-28) (aged 34) , Columbia Correctional Institution, Portage, Wisconsin, U.S..  The cause of death of Jeffrey Dahmer is Homicide (severe head trauma).  The conviction(s) of Jeffrey Dahmer are Murder, Child molestation, Indecent exposure, Disorderly conduct, Public intoxication.  The criminal penalty of Jeffrey Dahmer is Life imprisonment (16 life terms).     	Jeffrey Dahmer was given the death penalty.	0
69	T9	GW10	    Jeff Lynne is a musician.  The labels of Jeff Lynne are United Artists, Jet, Harvest, Epic, Sony BMG, Reprise, Frontiers.  The occupation(s) of Jeff Lynne are Musician, singer-songwriter, record producer.  The years active of Jeff Lynne was on 1963 - present.    	Since 1963, Jeffrey Lynne actively engaged in the profession of Musician, singer-songwriter and record producer.	2
70	T9	GW10	    The birth name of Jeff Lynne is Jeffrey Lynne.  The website of Jeff Lynne is www.ftmusic.com.   Jeff Lynne was also known as Otis Wilbury, Clayton Wilbury.  The associated acts of Jeff Lynne are Electric Light Orchestra, Traveling Wilburys, Tom Petty and the Heartbreakers, The Idle Race, The Move, George Harrison, The Beatles.    	Jeffrey Lynne owns ftmusic.com.	1
71	T9	GW10	    The birth name of Jeff Lynne is Jeffrey Lynne.  Jeff Lynne was also known as Otis Wilbury, Clayton Wilbury.  Jeff Lynne was born on ( 1947-12-30 )  30 December 1947  (age 71)  Erdington, Birmingham, England, United Kingdom.  The associated acts of Jeff Lynne are Electric Light Orchestra, Traveling Wilburys, Tom Petty and the Heartbreakers, The Idle Race, The Move, George Harrison, The Beatles.    	Jeffrey Lynne age is below 70.	0
72	T9	GW5	    The birth name of Jeff Lynne is Jeffrey Lynne.  Jeff Lynne was also known as Otis Wilbury, Clayton Wilbury.  Jeff Lynne was born on ( 1947-12-30 )  30 December 1947  (age 71)  Erdington, Birmingham, England, United Kingdom.  The associated acts of Jeff Lynne are Electric Light Orchestra, Traveling Wilburys, Tom Petty and the Heartbreakers, The Idle Race, The Move, George Harrison, The Beatles.    	Jeffrey Lynne had multiple nicknames.	2
73	T9	GW5	    The associated acts of Jeff Lynne are Electric Light Orchestra, Traveling Wilburys, Tom Petty and the Heartbreakers, The Idle Race, The Move, George Harrison, The Beatles.  Jeff Lynne was also known as Otis Wilbury, Clayton Wilbury.  Jeff Lynne was born on ( 1947-12-30 )  30 December 1947  (age 71)  Erdington, Birmingham, England, United Kingdom.  The birth name of Jeff Lynne is Jeffrey Lynne.    	Jeffrey Lynne toured with George Harrison.	1
74	T9	GW5	    The labels of Jeff Lynne are United Artists, Jet, Harvest, Epic, Sony BMG, Reprise, Frontiers.  The birth name of Jeff Lynne is Jeffrey Lynne.  The occupation(s) of Jeff Lynne are Musician, singer-songwriter, record producer.  The associated acts of Jeff Lynne are Electric Light Orchestra, Traveling Wilburys, Tom Petty and the Heartbreakers, The Idle Race, The Move, George Harrison, The Beatles.    	Jeffrey Lynne was signed to a single label throughout his career.	0
75	T9	GW1	    The labels of Jeff Lynne are United Artists, Jet, Harvest, Epic, Sony BMG, Reprise, Frontiers.  The birth name of Jeff Lynne is Jeffrey Lynne.  Jeff Lynne was born on ( 1947-12-30 )  30 December 1947  (age 71)  Erdington, Birmingham, England, United Kingdom.  The years active of Jeff Lynne was on 1963 - present.    	Jeff Lynne was born in the Winter of 1947.	2
